"","Codigo","Sexo","Escuela","Grado","Grupo","EscuelaGradoGrupo","Calificacin","Tareas","LentoXRastreador","Conteo1P","Conteo2P","Conteo3P","ConteoT","Target","Validacin","NumEntrenamientos","ConteoCorrecto","ConteocorrectoyTarget","ConteoCorrecto1213","ConteocorrectoyTarget1213","Niveldeactividad","SonrisayRisa","Placeraltaintensidad","Impulsividad","Aprox","Timidez","Miedo","Malestar","Tristeza","Frustracin","Autotranquilizacion","controlInhibitorio","Placerbajaintensidad","Sensibilidadperceptual","Atencionfoc","distractibilidad","conjuntoatencion","ControlEsforzadocondistractibilidad","AfectoNegativo","ExtraversinSurgency","CESindistractibilidad","Alerta","Orientacion","Conflicto","CEAltosBajos","ANAltosBajos","SurgencyAltosBajos","CESindistracAltosBajos","CEsuperaltosbajos","ANsuperaltosbajos","Sugencysuperaltosbajos","CEsindistracsuperaltosbajos","AlertaAltosBajos","OrientacionAltosBajos","ConflictoAltosNajos","Perfiles","PerfilessinDistractibilidad","NiveldeactividadALTOSBAJOS","SonrisayRisaALTOSBAJOS","PlaceraltaintensidadALTOSBAJOS","ImpulsividadALTOSBAJOS","AproxALTOSBAJOS","TimidezALTOSBAJOS","MiedoALTOSBAJOS","MalestarALTOSBAJOS","TristezaALTOSBAJOS","FrustracinALTOSBAJOS","AutotranquilizacionALTOSBAJOS","controlInhibitorioALTOSBAJOS","PlacerbajaintensidadALTOSBAJOS","SensibilidadperceptualALTOSBAJOS","AtencionfocALTOSBAJOS","distractibilidadALTOSBAJOS","conjuntoatencionALTOSBAJOS","ANT_percentcorrect"
"184",303,"1",4,1,11,"4.1A",9.5,"COMPLETO","",9,NA,NA,13,1,NA,1,1,1,1,1,3.69,5.38,4.62,4.62,5.31,3.23,5.25,5.17,4.67,4.54,4.08,5,5.92,5.5,4.38,4.2,4.31,4.999615385,4.73974359,4.474358974,5.199519231,172,-24,152.5,1,1,0,1,1,1,NA,1,1,0,1,3,3,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,97.92
"185",305,"1",4,1,11,"4.1A",9.1,"Falta Gorila","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15,6.23,5.42,5.46,6.23,1.62,3.92,4,2.17,3.69,4.92,4.38,4.54,5.55,4,4.6,4.3,4.692132867,3.738461538,5.18482906,4.617132867,117.5,44.5,141,0,0,1,0,NA,0,1,NA,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,96.53
"186",306,"0",4,1,11,"4.1A",9.2,"COMPLETO","",24,7,NA,12,1,NA,2,1,1,1,1,4.08,4.31,4.46,3.15,5.46,4.23,5.17,4.25,3.75,4.31,4.08,4.69,5.09,5.08,4.63,5,4.77,4.898310023,4.311538462,4.282051282,4.872887529,61.5,-42,22,1,1,0,1,NA,NA,0,NA,1,0,0,3,3,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,86.81
"187",310,"1",4,1,12,"4.1B",9.4,"COMPLETO","",9,NA,NA,13,0,1,1,1,0,1,0,4.46,4,5.54,4.77,5.54,3.31,3.75,3.83,4.17,5.92,4.67,3.85,5.08,6,4.13,3,3.69,4.409615385,4.467948718,4.602564103,4.762019231,148,-18,91.5,0,1,1,0,0,NA,NA,NA,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,93.75
"188",311,"1",4,1,12,"4.1B",9.4,"COMPLETO","",9,NA,NA,12,1,NA,1,1,1,1,1,4.62,5.75,4.54,4.08,6.23,5.08,5.73,4.83,5.27,4.38,5.38,4.46,5.54,5.67,4.38,4.2,4.31,4.848333333,5.120512821,5.048076923,5.010416667,26,-63,51,1,1,1,1,NA,1,1,NA,0,0,0,3,3,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,86.81
"189",312,"1",4,1,12,"4.1B",9.6,"COMPLETO","",6,9,NA,12,1,NA,2,1,1,1,1,4.69,4.69,5.31,3.77,6.46,3.85,5.5,4.92,5.33,5.15,3.23,4.54,4.62,5.5,5.13,3.6,4.54,4.675769231,4.826923077,4.794871795,4.944711538,69,58,-10.5,0,1,1,1,NA,1,1,NA,1,1,0,1,3,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,90.97
"190",313,"0",4,1,12,"4.1B",9.7,"COMPLETO","",8,NA,NA,12,1,NA,1,1,1,1,1,4.46,4.54,3.85,4.85,5.85,2.69,5.08,4.25,4.08,4.69,5.23,5.62,5.15,4.75,4.44,4.4,4.42,4.872735043,4.667948718,4.371794872,4.990918803,16.5,20,77.5,1,1,0,1,NA,1,0,NA,0,0,0,3,3,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,97.92
"191",314,"0",4,1,12,"4.1B",9.7,"COMPLETO","",8,NA,NA,10,1,NA,1,0,0,0,0,3.75,4.62,4.85,4.23,5.15,4.46,4.42,4.5,4.36,4.08,4.92,5.38,5.38,5.33,4.13,4.6,4.31,4.965512821,4.454778555,4.509615385,5.056891026,44.5,-34.5,65.5,1,1,0,1,NA,NA,NA,1,0,0,0,3,3,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,94.44
"192",315,"1",4,1,12,"4.1B",8.9,"COMPLETO","",7,NA,NA,11,0,1,1,1,0,0,0,3.23,4.77,3.92,4.46,5.31,2.46,3.09,4.09,4.33,5.46,4.38,4.31,4.92,4.75,3.75,3.4,3.62,4.224871795,4.272261072,4.025641026,4.431089744,27,-40.5,-15,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,67.36
"193",317,"0",4,1,12,"4.1B",9.7,"COMPLETO","",8,NA,NA,11,1,NA,1,1,1,0,0,3.92,5.23,3.92,3.62,5.77,4.31,4.92,4.42,4.67,4.85,5.15,6.15,5.69,5.08,5.25,5,5.15,5.435897436,4.8,4.460470085,5.544871795,92.5,69,120,1,1,0,1,1,1,NA,1,1,1,1,3,3,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,95.83
"194",319,"1",4,1,12,"4.1B",9.3,"COMPLETO","",7,NA,NA,12,1,NA,1,1,1,1,1,4.46,5.46,3.85,5.31,6,1.54,3,4.25,4.17,5,5.85,4.31,5.77,3.92,5.63,4.4,5.15,4.803717949,4.452564103,4.435897436,4.904647436,61,109.5,87,1,1,0,1,NA,NA,NA,NA,1,1,0,3,3,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,86.11
